date,option_premium,spot_entry,spot_exit,exit_time,direction,spot_points
4092023,388.0,44050.5,43996.5,09:30:00,UP,-54.0
5092023,501.65,44179.1,44229.0,09:30:00,DOWN,-49.900000000001455
6092023,1031.1,44310.0,44305.25,09:30:00,DOWN,4.75
7092023,957.85,44893.15,44919.05,09:30:00,UP,25.900000000001455
8092023,914.85,43927.9,43842.55,09:30:00,UP,-85.34999999999854
11092023,401.5,44626.15,44640.85,09:30:00,UP,14.69999999999709
12092023,516.25,44626.45,44630.95,09:30:00,DOWN,-4.5
13092023,100.3,44264.75,44335.15,09:30:00,UP,70.40000000000146
14092023,652.85,46145.75,46098.95,09:30:00,DOWN,46.80000000000291
15092023,1003.1,44135.8,44146.75,09:30:00,UP,10.94999999999709
18092023,844.9,44316.15,44311.3,09:30:00,DOWN,4.849999999998545
20092023,832.25,43606.6,43694.9,09:30:00,DOWN,-88.30000000000291
21092023,825.55,44755.45,44850.4,09:30:00,DOWN,-94.95000000000437
22092023,744.7,43806.8,43744.3,09:30:00,DOWN,62.5
25092023,772.0999999999999,43329.5,43234.3,09:30:00,UP,-95.19999999999709
26092023,607.4000000000001,42665.4,42552.8,09:30:00,DOWN,112.59999999999854
27092023,662.75,42574.5,42543.05,09:30:00,UP,-31.44999999999709
28092023,548.25,44430.45,44394.0,09:30:00,DOWN,36.44999999999709
29092023,455.45,42619.95,42484.95,09:30:00,UP,-135.0
3102023,870.8499999999999,44524.65,44554.5,09:30:00,DOWN,-29.849999999998545
4102023,470.3,44605.65,44560.65,09:30:00,DOWN,45.0
5102023,1007.65,44500.5,44469.15,09:30:00,UP,-31.349999999998545
6102023,490.25,44354.7,44385.15,09:30:00,UP,30.450000000004366
9102023,834.15,44101.7,44099.9,09:30:00,DOWN,1.7999999999956344
10102023,659.0,45302.4,45299.15,09:30:00,UP,-3.25
11102023,1024.4,45764.15,45693.15,09:30:00,DOWN,71.0
12102023,809.75,45398.4,45436.25,09:30:00,DOWN,-37.849999999998545
13102023,972.55,46056.35,46035.6,09:30:00,DOWN,20.75
16102023,1161.0,44533.95,44478.85,09:30:00,UP,-55.099999999998545
17102023,844.5999999999999,46087.1,46153.2,09:30:00,DOWN,-66.09999999999854
18102023,879.4000000000001,43627.3,43625.55,09:30:00,DOWN,1.75
19102023,917.7,45632.75,45703.0,09:30:00,UP,70.25
20102023,857.7,45193.45,45201.3,09:30:00,UP,7.850000000005821
23102023,752.1500000000001,44563.0,44599.2,09:30:00,DOWN,-36.19999999999709
25102023,663.35,44678.8,44644.2,09:30:00,DOWN,34.60000000000582
26102023,595.8499999999999,44447.95,44457.3,09:30:00,DOWN,-9.35000000000582
27102023,540.6,44681.45,44630.95,09:30:00,UP,-50.5
30102023,417.65,43198.25,43078.7,09:30:00,UP,-119.55000000000291
